ID,User,Date Created,Number of Likes,Source of Tweet,Tweet
40,aksatriou_,2022-01-29 01:17:40+00:00,0,Twitter for iPhone,@iyesiyes_ Teko mblayang wae nek aku 🤣 ra kudu nang tempat wisata nek nde Jogja akeh sawah dadi waton comot gubug’e wong. 🤣
41,idbcpr,2022-01-29 01:06:22+00:00,1,Awtoshare,"Jelajah Wisata Jogja -  Yuk jelajah tempat wisata Jogja ini!! - photo today by  taken at Bukit Panguk, Kediwung, Dlingo, Bantul.... - https://t.co/jCl71CHRCh"
42,JogjaCTour,2022-01-28 23:29:31+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
43,blssdmen,2022-01-28 22:59:03+00:00,0,Twitter for Android,"wisata kota jogja

https://t.co/WB7kzl0nOn"
44,catperku,2022-01-28 22:42:21+00:00,0,CatperkuNextScriptsAutoPoster,Pantai Di Jogja Terbaik! No 7 Asik Buat Camping Lho! [ Wisata Jogja ] - https://t.co/5gHgmc0BFh https://t.co/y8ihj9cr2w
45,idbcpr,2022-01-28 22:42:20+00:00,0,Awtoshare,Pantai Di Jogja Terbaik! No 7 Asik Buat Camping Lho! [ Wisata Jogja ] - https://t.co/nHFRUGBuBa https://t.co/Ak88FflgGR
46,JogjaRavers,2022-01-28 21:55:51+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
47,ismael_xyz,2022-01-28 19:41:10+00:00,0,Twitter Web App,Semoga tempat-tempat wisata jogja segar menyusul
48,JogjaCTour,2022-01-28 19:28:42+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf229rU3 #JogjaCityTour | Jogja Traveling Guide
49,catperku,2022-01-28 19:24:32+00:00,0,CatperkuNextScriptsAutoPoster,Pantai Di Gunungkidul Jogja Wajib Kunjung! [ Wisata Pantai Gunung Kidul ] - https://t.co/UEd6Xkj4fW https://t.co/WVC0XqAtK7
50,idbcpr,2022-01-28 19:24:30+00:00,0,Awtoshare,Pantai Di Gunungkidul Jogja Wajib Kunjung! [ Wisata Pantai Gunung Kidul ] - https://t.co/dXkWpKuP61 https://t.co/OgmIFrbIyc
51,Ehhdaa_,2022-01-28 18:49:44+00:00,0,Twitter for Android,Rekomen wisata jogja dong nder
52,alindstransport,2022-01-28 17:45:48+00:00,0,Twitter Web App,"Tempat wisata Jogja yang bagus untuk dikunjungi https://t.co/MIJxAJxZAQ
Jika ingin wisata ke jogja hubungi kami #jogja #wisatajogja #sewamobiljogja"
53,JogjaCTour,2022-01-28 16:58:40+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
54,JogjaMention,2022-01-28 16:00:41+00:00,0,twittbot.net,Liburan or Butuh Mobil di #Jogja Sewa Aja di cahyatransport Lengkap Dengan Paket Wisata All-In Dengan Mobilnya | 085293030433 BB 792BD523
55,idbcpr,2022-01-28 15:44:50+00:00,0,Awtoshare,"Jelajah Wisata Jogja - Selamat hari pahlawan... Semoga kita semua bisa jadi pahlawan bagi negeri ini.

... - https://t.co/e47vlMIzxI https://t.co/PbLHh2zQRg"
56,TiketPesawatPro,2022-01-28 15:28:09+00:00,0,twittbot.net,#liburan #wisata #wisataindonesia tiket pesawat murah ke jogja KLIK https://t.co/xaAlCMPOh2
57,nkhuusnaa,2022-01-28 15:12:21+00:00,0,Twitter for Android,"@DamriIndonesia Selamat malam, untuk rute Hotel Wisata Magelang - Hotel Atrium Jogja mulai beroperasi mulai jam berapa ya?"
58,bangplek,2022-01-28 15:02:21+00:00,0,Twitter for Android,"@Upil_Jarann yang ini ga pernah jadi ancaman wisata jogja, karena 'targetnya' bukan wisatawan(?)"
59,JogjaCTour,2022-01-28 14:59:16+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9Ta8vO
#JogjaCityTour"
60,zxsadadjiwaaa,2022-01-28 14:57:21+00:00,0,Twitter for Android,"Ya bagus, temen gw ke Jogja buat healing, gw malah ajak dia ke Mirota buat wisata 😭😭😭"
61,undipmenfess,2022-01-28 14:42:36+00:00,0,warga unchdeep,#NAME?
62,JogjaCTour,2022-01-28 14:28:57+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvK4q2 #JogjaCityTour | Jogja Traveling Guide
63,nopilupil,2022-01-28 13:34:38+00:00,0,Twitter for Android,Wisata jogja yang bagus apa ya?
64,JogjaCTour,2022-01-28 13:29:06+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf22quW3 #JogjaCityTour | Jogja Traveling Guide
65,JuhadiKp,2022-01-28 12:55:29+00:00,0,IFTTT,"Promosikan Wisata, Dinpar Kulon Progo Buka Pameran Ekraf di Bandara YIA - Tribun Jogja https://t.co/xBSwN5AaQN"
66,MasDoney26,2022-01-28 12:11:59+00:00,0,Twitter for iPhone,Rep dong makanan/tempat wisata didaerah Jogja yang repkomen buat foto🥺
67,galihnurw_,2022-01-28 10:54:07+00:00,0,Twitter for Android,"Iki nek ning Jogja mesti promosi wisata ne ""Pulau Spongebob Rasa Jogja"""
68,Pinarakjogja,2022-01-28 09:05:44+00:00,1,Twitter for iPhone,"#SobatPinarak... udah pada tau belum apa itu Clara?? 🤔 

Kalau belum, sini, sini… Mimin kasih tau yaa… 🤩 

Calendar of Event (CoE) Harian atau Clara Jogja,  adalah rangkuman informasi tempat dan event wisata yang ada di kota Jogja, setiap bulannya."
69,JogjaRavers,2022-01-28 08:56:02+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
70,nayepo_o,2022-01-28 08:45:02+00:00,0,Twitter for Android,"Selain candi borobudur, wisata jogja apa lg? :"")  biar ada destinasi yg lain"
71,ggardenroses,2022-01-28 07:52:47+00:00,0,Twitter for iPhone,@kris_tannnn dr pd sibuk bikin jalanan tampak modern pdhl gaungan jogja  sebagai wisata budaya mending majuin perekonomian warga daerah macam kayak naikin umr gtu --
72,JogjaCTour,2022-01-28 05:58:48+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9ST5tO
#JogjaCityTour"
73,JogjaCTour,2022-01-28 05:28:59+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
74,catperku,2022-01-28 05:20:36+00:00,0,CatperkuNextScriptsAutoPoster,"Pantai Baron, Pantai Di Jogja Yang Keren Banget! [ Jelajah Wisata Pantai Gunung Kidul Part 2 ] - https://t.co/yJoAemtNX7 https://t.co/RopDbbghIa"
75,idbcpr,2022-01-28 05:20:34+00:00,1,Awtoshare,"Pantai Baron, Pantai Di Jogja Yang Keren Banget! [ Jelajah Wisata Pantai Gunung Kidul Part 2 ] - https://t.co/M4kOzBXMHm https://t.co/FjDpXIkU5o"
76,JogjaCTour,2022-01-28 04:58:44+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
77,tegalfess,2022-01-28 04:57:21+00:00,0,tegalfess,"[tf] saranin wisata yg bagus + deket deket dong yg di jogja, apa aja deh. pertama kali mau ke jogja sama bojo :( yg deket dari keramaian ya. makasih"
78,JogjaCTour,2022-01-28 04:28:37+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf229rU3 #JogjaCityTour | Jogja Traveling Guide
79,JogjaCTour,2022-01-28 02:58:54+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9Ta8vO
#JogjaCityTour"
80,JogjaCTour,2022-01-28 02:28:50+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvK4q2 #JogjaCityTour | Jogja Traveling Guide
81,bdngfess,2022-01-28 02:08:59+00:00,0,bdngfess,euy kalo wisata malam jogja enaknya kemana ya?
82,mournphagy,2022-01-28 01:38:05+00:00,0,Twitter Web App,tadi mimpi nyetir bis bawa rombongan wisata jogja
83,JogjaCTour,2022-01-28 01:28:47+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf22quW3 #JogjaCityTour | Jogja Traveling Guide
84,idbcpr,2022-01-28 00:16:07+00:00,0,Awtoshare,"Jelajah Wisata Jogja -  Yuk jelajah tempat wisata Jogja ini!! - photo today by  taken around Cangkringan, Sleman.... - https://t.co/R5YxMEbKdR https://t.co/uvy6Qv4DWm"
85,nightfalljune,2022-01-28 00:05:58+00:00,0,Twitter for iPhone,@laaffyuu @user0108022470 Hari ini aku mau muter muter tempat wisata di jogja nih mba ayaang
86,JogjaCTour,2022-01-27 22:59:05+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
87,JuhadiKp,2022-01-27 21:54:48+00:00,0,IFTTT,Kulon Progo memprioritaskan pembangunan infrastruktur di lokasi wisata - ANTARA Jogja https://t.co/Qxx9JU3PFm
88,JogjaRavers,2022-01-27 19:25:52+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
89,dipayourbae,2022-01-27 18:06:10+00:00,0,Twitter for iPhone,wisata sekitaran solo sm jogja yg bagus apa ppp info dong guys yg jawab dapet susu
90,JogjaCTour,2022-01-27 16:28:35+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf229rU3 #JogjaCityTour | Jogja Traveling Guide
91,JogjaMention,2022-01-27 16:00:41+00:00,0,twittbot.net,Liburan or Butuh Mobil di #Jogja Sewa Aja di cahyatransport Lengkap Dengan Paket Wisata All-In Dengan Mobilnya | 085293030433 BB 792BD523
92,DaniMurdock,2022-01-27 15:26:36+00:00,0,Instagram,"Malem Jum'at Ora Ngopo-Ngopo ..
@wisatajogja_eksotis @ Ramayana Ballet Prambanan https://t.co/KSJUFWNIZP"
93,UNYmfs,2022-01-27 15:10:04+00:00,6,UNYmfs,"/uny haii semua, maaf mengganggu waktunya, aku mau minta rekomendasi dari temen² tempat wisata jogja sekitar kampus yang  low budget apa ya? terimakasih sebelumnya🌱"
94,JogjaCTour,2022-01-27 14:58:42+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9ST5tO
#JogjaCityTour"
95,idbcpr,2022-01-27 14:57:04+00:00,3,Awtoshare,"Jelajah Wisata Jogja - Bukankah setiap sudut kota Jogja bisa menyimpan banyak cerita romantis 

#explor... - https://t.co/1J1EoWfyCX https://t.co/iznSJx5vsg"
96,shi_kwonhoshi,2022-01-27 14:38:47+00:00,0,Twitter for Android,@RacunTravel Min.. wisata alam Jogja doong
97,JogjaCTour,2022-01-27 14:28:41+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvK4q2 #JogjaCityTour | Jogja Traveling Guide
98,pradiniviciana,2022-01-27 14:08:14+00:00,0,Twitter Web App,"@ceucepin Kamu di sana byk temen ya bep jd ga kesepian. Padahal aku udh ngehayal momotoran smbl wisata kuliner di jogja bep. Tp yg penting km lekas sehat panjang umur peace, love, and g4uL."
99,cloudlyflycia,2022-01-27 13:19:39+00:00,0,Twitter for Android,blom tau jd pulang ke jogja apa engga tp udh milih2 tempat wisata hehe 😬
100,dombanyaDK,2022-01-27 13:13:05+00:00,0,Twitter for Android,Moots yg org jogja apa pernah ke jogja rekomen tempat2 yg bagus dong🥺 (tempat wisata/belanja/makan) baru pertama kali mau ke jogja
101,JogjaCTour,2022-01-27 10:58:32+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
102,idbcpr,2022-01-27 10:45:28+00:00,0,Awtoshare,"Jogja Bay Waterpark, Wisata Kolam Renang Di Jogja - https://t.co/ioeZ5jQxXt https://t.co/HFdUkD0i5S"
103,Sellie_Coffee,2022-01-27 10:21:01+00:00,1,Twitter Web App,"Tempat tersembunyi di Jogja asik buat wisata bersama keluarga
.
https://t.co/r7hhB40EUU
.
#JOGJA #wisataindonesia #wisatajogja"
104,JogjaCTour,2022-01-27 08:59:08+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9Ta8vO
#JogjaCityTour"
105,hosheekitty,2022-01-27 08:15:22+00:00,0,Twitter for Android,@anywonus emang destinasi wisata wajib kalo ke jogja kak wkwk udah jadi iconnya jogjaaa. kayak kalo ke malang u kudu ke bakso presiden gitu lho
106,JogjaCTour,2022-01-27 07:59:15+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
107,unyildaratista,2022-01-27 07:58:16+00:00,0,Twitter for iPhone,"Dr sekian tmpt wisata jogja, gereja ayam yg paling nagih"
108,unloviingj,2022-01-27 06:46:48+00:00,0,Twitter for Android,rekomen jajan jogja atau wisata dijogja dong
109,bboybewok,2022-01-27 06:43:44+00:00,0,Twitter for Android,"@signatureoreo Di Jogja lebih asik, makin byk tempat wisata hihi"
110,JogjaRavers,2022-01-27 06:25:57+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
111,Ngapaemang_,2022-01-27 05:48:03+00:00,0,Twitter for Android,"Infone lur, wisata jogja tidak ada yg ditutup kan ya?"
112,JogjaCTour,2022-01-27 05:29:08+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
113,JogjaCTour,2022-01-27 04:29:06+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf22quW3 #JogjaCityTour | Jogja Traveling Guide
114,blssdmen,2022-01-27 04:08:21+00:00,14,Twitter Web App,"5. Taman Pelangi Yogyakarta
Taman Pelangi Jogja sangat terkenal sbgai wisata malam di jogja, taman ini terletak pada jl. Ringroad utara. Taman pelangi ini bisa di kunjungi oleh semua kalangan usia, mulai dari wisata keluarga, wisata kencan,  dan wisata healing yang mau menyendiri https://t.co/xhQfh1DNU1"
115,lokerjog,2022-01-27 01:41:55+00:00,0,Loker Jogja ID,"LOKER JOGJA TERBARU: Tour Operator / Tour Planner di PT. Salsabilla Rizqi Mandiri (Salsa Wisata)
#lokerjogja #lowongankerjajogja #loker #jogja #yogyakarta
https://t.co/rog2mCtD7D"
116,JogjaCTour,2022-01-27 01:28:59+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf229rU3 #JogjaCityTour | Jogja Traveling Guide
117,soulistyo98,2022-01-27 00:06:04+00:00,1,Twitter for Android,"Yuuuuk ke Gunungkidul...
Wilayah berkembang dengan syurga,nya Wisata pantai dan Wisata2 yg menarik lainnya...
https://t.co/02RwOCVMIo

#investasi 
#Properti 
#Tanah
#rumah
#Gunungkidul 
#JOGJA 
#yogyakarta"
118,idbcpr,2022-01-26 23:26:24+00:00,3,Awtoshare,"Jelajah Wisata Jogja - Ke sini yuk besok 

 Yuk jelajah tempat wisata Jogja ini!! - photo today by  taken at Hutan Pinus Mangunan,... - https://t.co/peFN1Rm3yy"
119,TiketPesawatPro,2022-01-26 22:58:16+00:00,0,twittbot.net,#wisataaceh #wisatasemarang #wisatajogja tiket pesawat promo ke bali juni 2015 KLIK https://t.co/xaAlCMPOh2
120,JogjaCTour,2022-01-26 20:58:41+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9Ta8vO
#JogjaCityTour"
121,catperku,2022-01-26 20:49:47+00:00,0,CatperkuNextScriptsAutoPoster,Ke Bukit Watugupit Wisata Paralayang Parangtritis Naik Motor! [ Wisata Jogja ] - https://t.co/sPRVZe3ppy https://t.co/A0LJjIjbh1
122,idbcpr,2022-01-26 20:49:46+00:00,0,Awtoshare,Ke Bukit Watugupit Wisata Paralayang Parangtritis Naik Motor! [ Wisata Jogja ] - https://t.co/y4Q9Zb63TD https://t.co/u1dszKg2RB
123,JogjaCTour,2022-01-26 19:58:39+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
124,catperku,2022-01-26 19:44:43+00:00,0,CatperkuNextScriptsAutoPoster,"Pantai Parangtritis, Pantai Di Jogja Terpopuler! Iya Kah? [ Wisata Jogja ] - https://t.co/M06NZp683s https://t.co/7SugG36Qfw"
125,idbcpr,2022-01-26 19:44:41+00:00,0,Awtoshare,"Pantai Parangtritis, Pantai Di Jogja Terpopuler! Iya Kah? [ Wisata Jogja ] - https://t.co/xnu9OJCQ0F https://t.co/aCvUmUKRby"
126,HotelJogjaPro,2022-01-26 19:28:40+00:00,0,twittbot.net,#wisataaceh #wisatasemarang #wisatajogja hotel di yogyakarta sekitar kaliurang KLIK https://t.co/zrZq2Cpbg6
127,catperku,2022-01-26 18:38:49+00:00,0,CatperkuNextScriptsAutoPoster,"Pantai Parangkusumo Keren, Tapi Kok Sepi Ya? [ Wisata Pantai Di Jogja ] - https://t.co/sHpQ4OJDka https://t.co/P4zNku6z97"
128,idbcpr,2022-01-26 18:38:48+00:00,0,Awtoshare,"Pantai Parangkusumo Keren, Tapi Kok Sepi Ya? [ Wisata Pantai Di Jogja ] - https://t.co/H1OoBViNbr https://t.co/FrmVLuSEJw"
129,JogjaCTour,2022-01-26 17:28:34+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
130,JogjaRavers,2022-01-26 17:25:52+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
131,JogjaCTour,2022-01-26 16:58:41+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
132,JogjaMention,2022-01-26 16:00:42+00:00,0,twittbot.net,Liburan or Butuh Mobil di #Jogja Sewa Aja di cahyatransport Lengkap Dengan Paket Wisata All-In Dengan Mobilnya | 085293030433 BB 792BD523
133,catperku,2022-01-26 15:24:35+00:00,0,CatperkuNextScriptsAutoPoster,Wayang Kulit Show At Keraton Yogyakarta [ Wisata Kota Jogja ] - https://t.co/3XJ3TqWCib https://t.co/rNeFncH7E8
134,idbcpr,2022-01-26 15:24:34+00:00,0,Awtoshare,Wayang Kulit Show At Keraton Yogyakarta [ Wisata Kota Jogja ] - https://t.co/RjK9FE08K6 https://t.co/YEcIfIo6VC
135,Askrlfess,2022-01-26 15:05:45+00:00,0,Askrlfess,[askrl] guys saran wisata di jogja yang lagi hits donggg atau yang seru terus tempatnya bagus~ makasih banyak yaaa!
136,idbcpr,2022-01-26 14:09:10+00:00,0,Awtoshare,"Jelajah Wisata Jogja -  Yuk jelajah tempat wisata Jogja ini!! - photo today by  taken at Candi Sewu, around Candi Prambanan Area.... - https://t.co/gyB8eepiDA"
137,JogjaCTour,2022-01-26 13:28:56+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf22quW3 #JogjaCityTour | Jogja Traveling Guide
138,JogjaCTour,2022-01-26 11:58:55+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9ST5tO
#JogjaCityTour"
